metaphorID,label_boolean,text
0,TRUE,"Hey , Karen !!!! I was told that on the day of diagnosis you are a survivor and you certainly will be . God bless you and my prayers are with you as you go through treatment . You will be fine . I felt pretty good and I had 8 treatments and that was 3 and 1/2 years ago . I would have kept working but I taught Kindergarten at the time and I was afraid of all the germs floating around . However , as I look back I should have worked just to keep busy . You will do great , just a gliche in the road . God will take care of you . Kathy Prihode "
2,FALSE,"Hi Ladies ... my last chemo was Feb 17/09 , rads finished Apr 29 and I have been on Arimidex now for 4 months now . so now my question ... are any of you into running/jogging and if yes , are any of you having problems with feeling light headed ? I have registered for our local Run for the Cure which takes place early October and have been slowly trying to get back into my jogging/running routine . Any feedback will be most appreciated . "
2,FALSE,"I have just come form my consult with a lovely ps . He does not thin that this left implant has any viable tissue . He feels all of the scab is dead with no new growth . I feel so sorry for my husband who is the eternal opmist -LRB- together we are a whole person -RRB- . I have just had a gin and tonic -LRB- strong on the gin , light on the tonic -RRB- and then a pino Grigio . I will have to have another surgery to remove the scab and take tissue from my soulder to cover the wound . This is this do ` cs opinion , Waiting will not yieild anyhting that will change these facts . I am going to sleep and will see how my subconscious sorts things out . As an artist I am blessed with a very smart subconscious . So far , my gut feeling is to cut my losses and start over again witb the shoulder flap . femme "
4,FALSE,"I also still question taking Tamox for stage 1 , grade 2 BC , I had lumpectomy and rads then Tamox . Is n't the rads to get ride of any stray cancer cells ? So why should we have to take Tamox also ?? "
2,FALSE,"Just checking in to say hello ladies . I had a long busy day too , but got allot accomplished . . and that feels really good . Lights are on the tree . . need to put on my gold beads , then one day this week , my youngest and I will put on all of or ornaments . We have a ton ! I buy them each one every year since they were born . With the older two not coming home until right before Christmas , I told her ... it 's just you and me kiddo ... we get to put on all the ornaments . . haha , . . I do n't think she was crazy about that . Ulla ... do n't fret over feeling bad , and letting us know . We are here for you . We have all been there !! Oh have we !! Sue ... glad your day went well with the wig . 9 hours is a long day , I was working 10 hr days when I went through chemo ... but I was not standing like you !! I hope your tx goes well for you tomorrow . Keep drinking that water . I am sending the scarves to you via FEDEX ... so be on the look out for them . Ill let you know tomorrow how long they think it will take . Thanks ... I got your x-mass card !! Love it !! too cute ! It made my day . Karen ... when I move from this house ... half of my x-mass decorations are NOT going with me !! Too many ! But it does look pretty ! Love and hugs to all ! xoxo Lisa Worry is for `` shit '' ! Live , Laugh , Love ! "
2,TRUE,"How is everyone doing ? I 'm 10 weeks post op from a bilateral diep , and I ended up having healing complications with my abdomen . I have been on a wound vac since the end of September . Is anyone else having wound problems ?????? The light at the end of the tunnel keeps getting further away ... "
2,FALSE,"Hello Jodi , It 's going to be OK . I just had my 3rd chemo treatment and I only have one more to go before I start my taxol/herceptin . I 'm also doing 4 rounds of AC every other week . The nausea gets to me even with the meds . I have found alot of helpful tips from others on the boards . I have absolutely no taste for anything , so I try things to see if it will work for me . I find that chicken noddle soup tastes good after I take the first bite . I ca n't drink water ; it makes me gag . I did find that Crystal Light -LRB- light lemon flavor -RRB- helped to get the water down . Toast and Hot decafe Tea in the morning helps . Peppermint candies help for a little while with my nausea . I could n't do the lemon drops . Right now I 'm having really bad acid reflucts ; but the doc said I could take over the counter meds for that . Each treatment seems to build up in me alittle more each time . I 've noticed that I 've been very tired this time . But just go with what your body tells you and relax if you can . Your going to be fine . Keep a very positive attitude and know that it 's going to over soon . I do n't know what I would do without the ladies on this sight they have given me the best advise and suggestions . Stay posted and ask for help if you need it , we will all be here for you . God Bless and Good Luck , Sue "
0,TRUE,"I had a bilateral mastecomy in June followed by radiation . I 'm trying to decide on reconstruction , maybe next year . I 'm 39 stage 3 inflammatory bc , just received good news clean scans !! I 'm nervous about reconstruction , I 'm afraid of the permanent change in my body . I 've seen a few women who have had tram flap and they feel wonderful and look great too . Wish I could get over the fear . Perhaps once I go through a summer boobless , my desire to look normal will out weigh the fear . Are all of you glad you went down this road ? Any regrets ? You all seem so positive even in the face of some pitfalls . You all also seem to be happy about the surgery in the end . Any advice would be appreciated , also how long after mastectomy did most of you wait ? "
6,TRUE,Just diagnosed late November . Stage I and with good prognosis . I had my lumpectomy and sentinal node biopsy on Friday -LRB- Dec 4 -RRB- . The initial prelims with the node were good and I am just waiting on the path reports now . I am amazed at how much this consumes my thoughts even though I feel positive about my diagnoses . I am so thankful for a place like this to come and express my thoughts and feelings . I am 38 and also have extremely bad endometriosis and since my cancer is hormone + I can no longer take my LoEstrin which was keeping the endo somewhat in check . I have only been off the hormones about two weeks and am already experiencing pelvic pain . Now I am having to consider a hysterectomy and am really scared and do n't know what to do . I have no children and do n't really think I want to . I really want to do what is best for me but it is so hard to know . Anyone else been in the same boat with the endometriosis ?
0,TRUE,"swimangel172 , With regard to my comments I did not mean to imply that Arimidex causes any heart complications but that Tamoxifen is meant to give some protection as it allows some oestrogen to continue circulating and this is why it also less likely than Arimidex to cause bone loss . I feel that being on Tamoxifen is between a rock and a hard place and am well aware of the se 's of both medicines . I tolerate Tamoxifen extremely well and am afraid that Arimidex may lead to joint pains etc. but that may be the road I take . With regard to your comments about endometrial cancer I understand that if you are monitored it should be apparent long before developing into full blown cancer that things are going wrong . I also have read -LRB- do n't know where -RRB- that the incidence of endometrial cancer from taking Tamoxifen is very small , maybe as low as 1 - 3 % . In fact if you develop endometrial cancer within 2 years of taking Tamoxifen it generally means that it was there before the breast cancer diagnosis - Jaydee . "
0,TRUE,"EastCoast Girl : I did the CMF with tissue expanders . My PS said that it was not a problem to keep them in for up to a year + -LSB- had my BMX April 14 -RSB- . I finished CMF almost 4 weeks ago and will start my radiation this Wednesday . I am looking at March hopefully for my exchange surgery , so it will be close to a year that I will have my expanders . With respects to the steroids during IV treatments , I did half of the dose . I was still a bit restless a few days after , but I felt it helped me with the nausea and SE . CMF was a longer road for me -LSB- 6 cycles total ; 2 weeks on/off , oral cytoxan pills 14 days , IV days 1 and 8 -RSB- but it was definitely worth it . "
2,TRUE,"So I met with the Oncologist yesterday and it was very enlightening . She said the Oncotype test was really designed for lymph node negative cases , though it can help shed light on others as well . When asked about the opinion of my sugeon that chemo would not help my cancer -LRB- because my 16 low score -RRB- , she said that in the Oncotype study they used only AC chemo on the patients , therefore it had no benefit . Had they used other chemo like TC , it may have had benefit . So that changed the whole picture for me . It also pissed me off that the Oncotype folks did not fully disclose this . Their stats do n't necessarily mean that ANY chemo would not benefit low score women , just that the AC chemo did not benefit them . My Oncologist said that in my situation she felt I would reduce the risk of recurrence by 35-40 % by having chemo . For me , with those odds , there is no decision . I am scheduled to begin TC on June 11 . Of course now it is all about the HAIR . I was fully prepared to accept complete hair loss -LRB- already started digging out scarves -RRB- , now I see these postings about Penguin cold caps preventing hair loss . I am SOOOOO tired of all this research and decision making ! "
2,FALSE,"And this is why I post here ... because it is where other women understand , have compassion and give good advice . Thanks ladies !!! I 'm slowly pulling myself away from the dark side but not quite there yet . Had a horrible bout of the trots two nights ago and ended up taking three Immodium AD 's . Not sure if it is from the Abraxane -LRB- last treatment 12/17 -RRB- or just a bug . Fun times . Also had an episode on Christmas Eve of seeing some extremely bright lights in my eyes for about 20 mins . That freaked me out a little . My next appt with my onc is January 7th so I 'm waiting until then to report all this - he is on vacation this week . Can skull mets migrate to the brain ? Hmmmm "
4,TRUE,"Aw Musical I 'm so sorry -- that does indeed sound like a roller coaster . June 2 is the date I was diagnosed with IDC -LRB- the date of my first lumpectomy -RRB- . My ride began at end of March with a suspicious mammogram -LRB- calcifications -RRB- , then a biopsy at end of April that turned out to be cancer . At first they told me it was Stage 0 and `` just '' DCIS ... but despite several mammos and an MRI , they did not detect that it was invasive til they operated . "
6,TRUE,Hi Dianne - I am glad I found your post as I am sort of in the same boat . I did not have chemo but ca n't take tamox . anymore . It is a big decision whether to do ooph or shot . I am 51 and premenopausal . I did not have to do chemo as I had an early stage and had a BMX so no rads . Hopefully more woman will let us know their experiences !
2,TRUE,There is light during chemo . I have been pretty much normal since Wednesday and am loving it ! I am looking forward to meeting some of you on the 8th . Take care all .
0,TRUE,"Hey , ladies , it is Weesa back again about my AI experience . And , I was asked about my chemo -- I did dd ACT after mastectomy , rads then the AI 's . There is a clinical trial going on , a double blind trial where half the survivors are given a placebo and half are given Femara for another five years beyond whatever they took for the first five years -- Tamoxifen or AI . The trial is several years out -- I know this because my onc asked me to join the trial several years ago . I declined because I did n't think I could commit to ten years , and I was right -- I only lasted for 6.5 years . It is anticipated the difference between five years and ten is only going to be a percent or two . I have had a long rough road convincing people in my health care circle that I was n't crazy , that I was n't imagining my se 's . Without saying so directly to me I could see they thought of me as a total nut case a few years ago , and I feel so vindicated now , reading about so many se 's -- there is such a striking similarity in our experiences . I still urge anybody needing to take an AI who is highly hormone receptive as I was -- to go ahead . They really do work -- and I am not excluding Tam here either which I could not take due to my port clotting up . The figures are impressive . But you will pay a price -- it 's no different than any other good thing in life . If you listen to your body you will learn what to do -- I took glucoasmine chrondroitin , Mobic , turmeric , never sat for more than ten minutes without getting up and walking , swimming , hot tub , special massages , acupuncture , you name it , but it all helped me for a good long time.When my knees started popping out of joint when I drove my car and I had to hold them in place with my hands and manage to steer the car , and then my left knee tore so I felt it -- I knew it was time to quit , and you will know also when that time is.I think what bothers so many of us is that sometimes it seems to be a conspiracy of silence with the oncs and the drug reps.I was told so often it was just a concidence that my body chose the time to start ripping apart as the same time as taking an AI . But trust your instincts , if you feel it is an se it probably is . You know your body better than anybody else . When I was a young woman I fell into the trap of taking birth control pills for a good many years , then when I got married and could n't conceive I took Clomid , then when I was 50 or so a male gyn talked me into HRT against my better judgment.For the past years I was still screwing with my hormones -- it was time to quit . Let 's hear from some more really older but wiser women -- I am 66 . almost 67 . "
0,TRUE,"I was given a choice for the mastering , if I choose this I would not need radiation treatments . Or I could go with breast conservation , which would be a lumpectomy w/removal of 3 `` sentinel lymph nodes '' which I would had to have then follow up with radiation + hormone blockers . I choose the Breast Conservation . My surgery was Sept. 3rd .2009 m Ever thing went apparently well . I was happy to hear I had all negative nodes . I felt really good within a short time . I returned to my Doctor a week after surgery for my follow up and was very encouraged and my spirits we high . WELL , WHAT A WAMMY I RECEIVED !!!!! After careful dissection of the 3 nodes they in fact found another 3mm mass which was positive . So , I was rescheduled for another surgery Sept. 17th for a complete `` Axillary Dissection '' . This was so hard on me . I cried a lot . But , as difficult as it was I made it through . I 'm a good bit more tender because of the incision is right under the arm . Very sensitive area !!! And the drain surely is no joy . I am dealing with it well though . And , even though my Doctor said they would prescribe + suggest I would need 6 weeks off of work , I returned to work 3 days later . I did OK . I have an office job and I 'm pretty much alone , so dealing with the drain was not a problem either NOW , I RECIEVED MORE NEWS !!!!!!!! I had one more positive -LRB- 6mm -RRB- node . If I had n't had any bad nodes , I would had to only do radiation , but because of the new findings , even if was just the one positive node , this will mean of course I do need Chemo therapy also . I seen my hemotologist yesterday and he said more than likely I 'll have the chemo first -LRB- about 3 weeks from now -RRB- , I need to heal a bit more first . Then I 'll have the radiation and I will still of course be doing the blockers for the hormones . Ny hemotoligist is meeting with the Radiology along with my surgeon before the exact type of meds are prescribed to me . I will have some choices , and I know at this point because my cancer is so very invasive , I will want just as an aggressive therapy . I 'm too scared not to DO still feel blessed in that after my MRI , which showed another area of concern on my other breast , the right side I had a biopsy and Thank You Sweet Jesus it was negative I 'm happy just to have one good working arm !!! Yet , because , I want to see my grandchildren grow . I want to be there when my granddaughter walks down that isle ... ... ... ... I WILL FIGHT !!! I will be this , though the journey will be long and hard / / / / / / / / / My road to recovery ! "
0,TRUE,"Laura , Hi . My name is Laura too . I am a new member to this `` club '' and this is my first post . I have five kids , my youngest is 3 . I want to beat this too . My doctor gave me no time to think . I thought I had a breast infection , he scheduled a mammo , then a biopsy , and then surgery for a mastectomy - and now I am recovering from the mastecomy . The good news - my cancer was confined to the lump and had not spread -LRB- Praise God -RRB- The bad news is that we are waiting on a report from a breast cancer specialist to find out what kind of cancer I have -LRB- the pathologist report did n't recognize it . -RRB- I am terrified . Hopeful . Depressed . Peaceful . The whole range of emotions . This is a road I did n't want to go down . My mastectomy was October 1 . I was diagnosed six days before that . I do n't know what my next steps are but I hope that since they `` got it all '' it will be a do-able treatment . I 'd appreciate prayers for me too . "
2,TRUE,"Trina , my sternum lit up like a christmas tree light ... turned out it was inflammation from all the chemo ... I also had my shoulder bones light up . They said it was fine . I did a bone scan about a year later and it not there , not even the `` future '' arthritic bones in my shoulder ! "
2,TRUE,"I know it was mentioned in this forum about supraclavicular being tough to treat . Does anyone know of anyone with complete response with treatment to that area ? As well , was it oral chemo or radiation that worked ? This area still seems so ambiguous to me and wondered if anybody had any good news about that area , particularly in light of all of the new therapies evolving ? Thanks for any help , Mary "
2,TRUE,Susie congratulations on finishing chemo ! Woohoo for light at the end of the tunnel . Hope you have a great weekend . xoxo
0,TRUE,"Hello ladies , I 'm celebrating my five-year post-mastectomy status by contemplating reconstruction . Your shared stories are such a help to us all as we navigate this twisty road to wholeness . My question is , if you have the DIEP surgery done in a remote city -LRB- I 'm in California ; sounds like NOLA is a great place to have the surgery -RRB- how does it work with all the pre and post-operative visits ? "
4,FALSE,"The headache went away after a left over MX pain pilll and a good nap , Alexcis and I enjoyed a great bike ride , then watched a movie . I recorded the Farrah Story and just finished watching it - did anyone else see it . All I can say is WOW , cried like a baby , never was a big Charlies Angel Fan so sad to see anyone suffer so . "
0,TRUE,"Hi Honey ... ... Sounds like your plan is taking shape . Once you know what your plans are you will be able to take things on one at a time . I had RB mastectomy March 18 and am doing well . I had enough time to prepare mentally and it turned out as well as could be expected . I now call it my little boys chest . The surgeon did a very neat job and it looks like it will leave minimal scarring down the road . It has already healed amazingly well , just feels tight . Try to deal with one thing at a time if you can ... learn about it then move to the next . It wo n't be as overwhelming then . Keep in touch and keep putting one foot in front of the other . We 'll be rooting for you . "
6,TRUE,"By all means get a second opinion and be sure to find out how much of a benefit it will give you ; if it 's substancial do n't be afraid to have chemo . Is is NOT fun , but for most people very doable ; and if it gives you a much better chance of never having to do this again , it 's well worth the effort . I was in the same boat as you , my surgeon just mentioned a mastectomy or lumpectomy plus radiation ; and since my lymph nodes were clear , I was totally SHOCKED when the oncologist recommended chemo ; but after seeing the numbers , I knew I had to do it & am glad that I did . I wonder if surgeons just do n't want to freak you out more than you already are , or if they do n't think about anything other than surgery ; but I 've had several friends who have had this happen to also . Best of Luck ! Ruth "
6,FALSE,"danismom - the wait is the absolute worst part . I also did n't discuss bc with anyone for a long time . The lump was found 12/26 and did n't tell anyone until just before my appointment with the surgeon on 2 / 25 , the day before my biopsy . Then I only told my dh . And I waited for what seemed like forever . I had surgery on 3/24 and started chemo on 4/24 . The months , I still feel was too long . I just wanted to get it over . STill feel that way . I thought I was good with all of the treatments until the week before I started chemo . I was a nervous wreck . I snapped at everyone , especially people trying to be nice , I could n't concentrate , I could n't sleep . When I went for the first tx , I felt calm . I had no problems during the infusion , and my nurse is great . I met with her when I had the first onc . appointment and she went over side effects , meds I take , etc. . The day of the first infusion , she explained everything in detail - what I was getting , what it was for , what to expect . I felt calm . Dh and I played cards most of the time . He beat for a change - I still blame it on the benadryl . I was there the first time for about 5 hours , with the infusion lasting about 4 . I did n't have many side effects , but I had read what others and said , so I tried to stay ahead of them - I began with a stool softener that night , etc. . I was more at ease with the second , but still somewhat nervous , as I expect I will be each time . I told the nurse that I had no problems the first time and I would like to go slow again . They usually do the taxotere a bit faster the second time . She said sure . Today is day 4 and so far only a bit of bone pain last night -LRB- could be taxotere or neulasta -RRB- and that 's it . Remember that you can be in control of part of this - take your meds , drink lots , rest , do something you enjoy that puts this in another part of your mind . That 's the hard part . We have a boat . That 's our sanctuary . You can do it . You will find you are much stronger than you think you are . And all of us are here to help carry you when you need it . "
