Index,Height
1,65.78331
2,71.51521
3,69.39874
4,68.2166
5,67.78781
6,68.69784
7,69.80204
8,70.01472
9,67.90265
10,66.78236
11,66.48769
12,67.62333
13,68.30248
14,67.11656
15,68.27967
16,71.0916
17,66.461
18,68.64927
19,71.23033
20,67.13118
21,67.83379
22,68.87881
23,63.48115
24,68.42187
25,67.62804
26,67.20864
27,70.84235
28,67.49434
29,66.53401
30,65.44098
31,69.5233
32,65.8132
33,67.8163
34,70.59505
35,71.80484
36,69.20613
37,66.80368
38,67.65893
39,67.80701
40,64.04535
41,68.57463
42,65.18357
43,69.65814
44,67.96731
45,65.98088
46,68.67249
47,66.88088
48,67.69868
49,69.82117
50,69.08817
51,69.91479
52,67.33182
53,70.26939
54,69.10344
55,65.38356
56,70.18447
57,70.40617
58,66.54376
59,66.36418
60,67.537
61,66.50418
62,68.99958
63,68.30355
64,67.01255
65,70.80592
66,68.21951
67,69.05914
68,67.73103
69,67.21568
70,67.36763
71,65.27033
72,70.84278
73,69.92442
74,64.28508
75,68.2452
76,66.35708
77,68.36275
78,65.4769
79,69.71947
80,67.72554
81,68.63941
82,66.78405
83,70.05147
84,66.27848
85,69.20198
86,69.13481
87,67.36436
88,70.09297
89,70.1766
90,68.22556
91,68.12932
92,70.24256
93,71.48752
94,69.20477
95,70.06306
96,70.55703
97,66.28644
98,63.42577
99,66.76711
100,68.88741
101,64.87434
102,67.09272
103,68.34761
104,65.61073
105,67.75551
106,68.0212
107,67.66193
108,66.3146
109,69.43706
110,63.83624
111,67.72277
112,70.05098
113,70.18602
114,65.94588
115,70.007
116,68.61129
117,68.80817
118,69.76212
119,65.45539
120,68.82534
121,65.8003
122,67.21474
123,69.42021
124,68.94396
125,67.9415
126,65.62506
127,66.49607
128,67.92809
129,68.89415
130,70.241
131,68.26623
132,71.23161
133,69.09747
134,64.39693
135,71.09585
136,68.21868
137,65.91721
138,67.4369
139,73.90107
140,69.98149
141,69.51862
142,65.18437
143,68.00869
144,68.3384
145,65.18417
146,68.26209
147,68.56865
148,64.49675
149,68.71053
150,68.89148
151,69.54011
152,67.39964
153,66.47521
154,66.01217
155,72.44434
156,64.12642
157,70.98112
158,67.50124
159,72.01515
160,65.31143
161,67.07509
162,64.39148
163,69.37003
164,68.37921
165,65.31018
166,67.1369
167,68.39468
168,66.2918
169,67.1866
170,65.99156
171,69.43393
172,67.97463
173,67.76133
174,65.27864
175,73.83364
176,66.81312
177,66.89411
178,65.73568
179,65.98283
180,66.58396
181,67.11294
182,65.87481
183,66.78067
